method,pair,lag,obs_corr,ci_lower,ci_upper,excludes_zero
raw_counts,Construction_vs_Digital,-6,0.0483,-0.3093,0.3009,False
raw_counts,Construction_vs_Digital,-5,-0.1786,-0.3339,0.2504,False
raw_counts,Construction_vs_Digital,-4,0.028,-0.342,0.2823,False
raw_counts,Construction_vs_Digital,-3,-0.0385,-0.3064,0.2464,False
raw_counts,Construction_vs_Digital,-2,0.0655,-0.2803,0.303,False
raw_counts,Construction_vs_Digital,-1,0.4407,-0.017,0.6199,False
raw_counts,Construction_vs_Digital,0,0.2809,0.0643,0.5491,True
raw_counts,Construction_vs_Digital,1,-0.0311,-0.2891,0.3242,False
raw_counts,Construction_vs_Digital,2,0.0338,-0.2124,0.3356,False
raw_counts,Construction_vs_Digital,3,0.0077,-0.2659,0.3223,False
raw_counts,Construction_vs_Digital,4,0.1313,-0.2581,0.3481,False
raw_counts,Construction_vs_Digital,5,0.1172,-0.2956,0.3394,False
raw_counts,Construction_vs_Digital,6,-0.1041,-0.2995,0.2782,False
raw_counts,Construction_vs_Traditional,-6,-0.0521,-0.3384,0.2846,False
raw_counts,Construction_vs_Traditional,-5,-0.1569,-0.3567,0.2489,False
raw_counts,Construction_vs_Traditional,-4,-0.1778,-0.3742,0.2014,False
raw_counts,Construction_vs_Traditional,-3,-0.033,-0.2962,0.28,False
raw_counts,Construction_vs_Traditional,-2,-0.0368,-0.3044,0.2881,False
raw_counts,Construction_vs_Traditional,-1,0.2858,-0.1359,0.5028,False
raw_counts,Construction_vs_Traditional,0,0.2919,-0.0264,0.5313,False
raw_counts,Construction_vs_Traditional,1,0.1299,-0.1382,0.4127,False
raw_counts,Construction_vs_Traditional,2,0.1265,-0.1512,0.3437,False
raw_counts,Construction_vs_Traditional,3,0.0421,-0.2472,0.3309,False
raw_counts,Construction_vs_Traditional,4,0.1965,-0.2693,0.3619,False
raw_counts,Construction_vs_Traditional,5,0.2104,-0.2831,0.3359,False
raw_counts,Construction_vs_Traditional,6,0.1499,-0.3216,0.2879,False
STL_remainder,Construction_vs_Digital,-6,0.0834,-0.2846,0.2334,False
STL_remainder,Construction_vs_Digital,-5,-0.0126,-0.289,0.2658,False
STL_remainder,Construction_vs_Digital,-4,0.2305,-0.1929,0.3527,False
STL_remainder,Construction_vs_Digital,-3,-0.1591,-0.3566,0.1925,False
STL_remainder,Construction_vs_Digital,-2,0.0293,-0.3728,0.363,False
STL_remainder,Construction_vs_Digital,-1,0.5007,-0.0031,0.6917,False
STL_remainder,Construction_vs_Digital,0,0.3778,0.1341,0.7321,True
STL_remainder,Construction_vs_Digital,1,0.0961,-0.2002,0.3862,False
STL_remainder,Construction_vs_Digital,2,0.0346,-0.2813,0.2695,False
STL_remainder,Construction_vs_Digital,3,0.1092,-0.2138,0.3691,False
STL_remainder,Construction_vs_Digital,4,0.1103,-0.2403,0.3054,False
STL_remainder,Construction_vs_Digital,5,-0.1963,-0.3166,0.205,False
STL_remainder,Construction_vs_Digital,6,-0.1436,-0.2967,0.2602,False
STL_remainder,Construction_vs_Traditional,-6,-0.06,-0.2879,0.2401,False
STL_remainder,Construction_vs_Traditional,-5,-0.0135,-0.3132,0.2611,False
STL_remainder,Construction_vs_Traditional,-4,0.0693,-0.3074,0.3067,False
STL_remainder,Construction_vs_Traditional,-3,0.1599,-0.1705,0.3135,False
STL_remainder,Construction_vs_Traditional,-2,0.0028,-0.4449,0.3756,False
STL_remainder,Construction_vs_Traditional,-1,0.2785,-0.3095,0.623,False
STL_remainder,Construction_vs_Traditional,0,0.3636,0.0285,0.6876,True
STL_remainder,Construction_vs_Traditional,1,0.3424,0.041,0.4595,True
STL_remainder,Construction_vs_Traditional,2,0.0647,-0.2034,0.2968,False
STL_remainder,Construction_vs_Traditional,3,0.0503,-0.2647,0.29,False
STL_remainder,Construction_vs_Traditional,4,-0.0982,-0.2907,0.2522,False
STL_remainder,Construction_vs_Traditional,5,0.018,-0.2941,0.2352,False
STL_remainder,Construction_vs_Traditional,6,-0.0699,-0.2991,0.2505,False
