Pair,Lag,r,CI_lower_95,CI_upper_95,Band_excludes_zero
Construction-Digital,-6,-0.0663,-0.2729,0.2687,False
Construction-Digital,-5,0.1892,-0.2604,0.3026,False
Construction-Digital,-4,-0.1269,-0.4044,0.3238,False
Construction-Digital,-3,-0.1795,-0.4472,0.2226,False
Construction-Digital,-2,0.049,-0.3082,0.3415,False
Construction-Digital,-1,0.091,-0.1371,0.2975,False
Construction-Digital,0,0.2399,-0.0043,0.4659,False
Construction-Digital,1,0.0244,-0.2364,0.2687,False
Construction-Digital,2,-0.0338,-0.419,0.316,False
Construction-Digital,3,0.1776,-0.2126,0.3877,False
Construction-Digital,4,0.1588,-0.2341,0.324,False
Construction-Digital,5,-0.1835,-0.3168,0.2268,False
Construction-Digital,6,-0.0146,-0.3015,0.2681,False
Construction-Traditional,-6,-0.0942,-0.2762,0.2544,False
Construction-Traditional,-5,0.0924,-0.259,0.2937,False
Construction-Traditional,-4,-0.0713,-0.3881,0.3301,False
Construction-Traditional,-3,-0.021,-0.3535,0.2769,False
Construction-Traditional,-2,-0.0003,-0.364,0.2875,False
Construction-Traditional,-1,0.1787,-0.1644,0.4106,False
Construction-Traditional,0,0.159,-0.0004,0.3197,False
Construction-Traditional,1,0.2572,0.0229,0.4586,True
Construction-Traditional,2,-0.0305,-0.3433,0.2395,False
Construction-Traditional,3,-0.1007,-0.3231,0.2008,False
Construction-Traditional,4,0.115,-0.2504,0.2997,False
Construction-Traditional,5,-0.0495,-0.298,0.2358,False
Construction-Traditional,6,-0.0517,-0.2902,0.2639,False
