Metric,Full panel (51 months),Excluding March 2025 (50 months)
STL seasonal strength: Construction,0.308,0.275
STL seasonal strength: Digital,0.254,0.198
STL seasonal strength: Traditional,0.264,0.273
Month-of-year bootstrap p: Construction,0.189,0.245
Month-of-year bootstrap p: Digital,0.006,0.009
Month-of-year bootstrap p: Traditional,0.004,0.005
"CCF Construction-Digital, lag -1 [95% band]","0.091 [-0.14, 0.30]","0.095 [-0.15, 0.30]"
"CCF Construction-Digital, lag +0 [95% band]","0.240 [-0.00, 0.47]","0.295 [0.06, 0.50]"
"CCF Construction-Digital, lag +1 [95% band]","0.024 [-0.24, 0.27]","0.002 [-0.26, 0.22]"
"CCF Construction-Traditional, lag -1 [95% band]","0.179 [-0.16, 0.41]","0.176 [-0.19, 0.40]"
"CCF Construction-Traditional, lag +0 [95% band]","0.159 [-0.00, 0.32]","0.176 [0.03, 0.35]"
"CCF Construction-Traditional, lag +1 [95% band]","0.257 [0.02, 0.46]","0.224 [-0.01, 0.41]"
Ratio Construction/Digital: slope per quarter,+0.00119,+0.00115
Ratio Construction/Digital: final value,0.0126,0.0103
Ratio Construction/Traditional: slope per quarter,+0.00098,+0.00093
Ratio Construction/Traditional: final value,0.0120,0.0098
"Construction STL trend, first to last (postings per month)",0.7 to 10.3,0.5 to 9.7
ETS one-step MASE: Construction,1.22,1.37
ETS one-step MASE: Digital,0.74,0.56
ETS one-step MASE: Traditional,0.65,0.52
